City Hotel,2018,Groups,992,307,30
City Hotel,2018,Direct,857,127,14
City Hotel,2018,Complementary,121,13,10
Resort Hotel,2018,Groups,352,72,20
City Hotel,2018,Undefined,2,2,100
City Hotel,2018,Corporate,388,56,14
City Hotel,2018,Offline TA/TO,1396,236,16
City Hotel,2018,Online TA,2794,680,24
Resort Hotel,2018,Complementary,31,1,3
Resort Hotel,2018,Corporate,454,56,12
Resort Hotel,2018,Offline TA/TO,1725,214,12
Resort Hotel,2018,Direct,1289,176,13
Resort Hotel,2018,Online TA,2910,764,26
City Hotel,2019,Complementary,261,37,14
City Hotel,2019,Aviation,121,24,19
City Hotel,2019,Corporate,1314,192,14
hotel,2019,Online TA,2,2,100
City Hotel,2019,Offline TA/TO,4173,865,20
City Hotel,2019,Direct,2582,531,20
City Hotel,2019,Online TA,18509,6871,37
City Hotel,2019,Groups,1114,584,52
Resort Hotel,2019,Complementary,99,17,17
City Hotel,2019,Undefined,2,2,100
hotel,2019,Groups,1,0,0
Resort Hotel,2019,Direct,3184,500,15
Resort Hotel,2019,Corporate,923,129,13
Resort Hotel,2019,Groups,1310,302,23
Resort Hotel,2019,Offline TA/TO,3543,538,15
Resort Hotel,2019,Online TA,8637,3163,36
City Hotel,2020,Offline TA/TO,1924,382,19
Resort Hotel,2020,Direct,2116,307,14
City Hotel,2020,Complementary,141,17,12
City Hotel,2020,Aviation,106,21,19
Resort Hotel,2020,Complementary,60,13,21
City Hotel,2020,Direct,2216,350,15
Resort Hotel,2020,Corporate,665,110,16
City Hotel,2020,Corporate,570,61,10
Resort Hotel,2020,Groups,727,141,19
City Hotel,2020,Groups,830,300,36
City Hotel,2020,Online TA,14332,5708,39
Resort Hotel,2020,Offline TA/TO,1764,258,14
Resort Hotel,2020,Online TA,6240,2445,39
